employee_id,department,role,seniority_years,total_weekly_hours,overtime_hours,daily_meeting_volume,days_since_last_vacation,sick_leave_days_6m,self_reported_stress,motivation_level,burnout_risk
E0001,Operations,Junior,1.4,48.5,7.4,1.5,62,1,3,5,Low
E0002,Sales,Mid,1.1,43.4,14.8,2.5,198,0,5,3,High
E0003,Operations,Junior,2.1,41.3,3.8,2.7,291,1,3,3,Medium
E0004,Operations,Junior,2.0,44.0,7.7,1.7,262,4,4,3,Medium
E0005,IT,Senior,2.9,49.6,11.8,2.2,98,0,4,3,Medium
E0006,Marketing,Mid,5.0,45.7,5.5,1.6,62,5,2,3,Low
E0007,Operations,Manager,3.3,54.8,14.5,2.9,94,2,5,2,High
E0008,Operations,Mid,6.1,46.1,10.6,1.0,98,0,4,3,Low
E0009,IT,Senior,2.7,50.9,11.8,1.9,93,3,4,3,Medium
E0010,HR,Mid,10.4,43.0,3.5,3.3,96,2,4,4,Low
E0011,Sales,Senior,6.0,41.0,8.1,2.8,177,2,3,2,Medium
E0012,Marketing,Senior,4.1,47.3,2.5,3.1,93,1,3,3,Low
E0013,Finance,Mid,5.0,38.3,3.8,0.1,116,0,3,5,Low
E0014,Operations,Manager,2.2,48.1,9.0,3.8,51,1,4,4,Low
E0015,Sales,Mid,2.9,43.5,3.5,2.4,72,2,3,3,Low
E0016,IT,Junior,2.8,48.4,9.8,1.3,85,1,4,4,Medium
E0017,Finance,Senior,1.8,48.9,13.3,2.6,76,6,3,4,Medium
E0018,IT,Lead,1.0,48.9,8.4,2.6,95,4,4,4,Medium
E0019,Operations,Junior,5.2,41.1,7.6,0.0,56,1,3,2,Low
E0020,Finance,Mid,6.8,41.7,2.9,2.8,89,1,3,5,Low
E0021,Operations,Lead,4.7,45.4,9.3,3.2,139,2,5,2,High
E0022,Sales,Senior,3.3,43.0,6.7,2.7,247,5,4,3,High
E0023,Marketing,Manager,13.6,51.4,12.9,2.5,86,1,3,2,Medium
E0024,Marketing,Mid,2.0,45.8,3.8,0.9,117,2,3,3,Low
E0025,Operations,Senior,4.2,49.1,13.0,2.7,118,5,4,3,Medium
E0026,IT,Mid,7.5,48.4,8.0,3.4,58,3,4,2,Medium
E0027,HR,Manager,1.3,44.5,5.9,3.5,243,1,5,3,High
E0028,IT,Mid,5.5,40.1,4.0,1.0,124,3,3,4,Low
E0029,IT,Senior,10.9,48.2,11.5,2.7,171,5,5,2,High
E0030,Finance,Mid,3.5,47.3,10.6,2.1,271,6,5,1,High
E0031,Operations,Senior,3.9,45.7,10.1,3.2,115,2,4,3,Medium
E0032,Marketing,Senior,2.0,54.7,17.0,3.0,120,6,5,2,High
E0033,Sales,Mid,5.0,51.4,13.7,0.2,103,4,4,2,High
E0034,Sales,Lead,1.8,42.8,9.8,3.9,66,2,4,3,Medium
E0035,HR,Mid,3.3,37.2,3.2,1.3,196,1,3,4,Low
E0036,IT,Senior,0.8,50.9,12.4,1.4,311,5,5,2,High
E0037,IT,Mid,0.1,41.6,5.6,1.9,132,2,3,3,Low
E0038,HR,Mid,2.4,48.0,9.2,2.4,176,5,3,2,Medium
E0039,IT,Mid,2.3,50.4,10.4,0.8,206,5,4,3,Medium
E0040,Finance,Junior,2.5,41.4,7.0,2.3,278,4,3,2,Medium
E0041,Sales,Junior,5.9,43.2,9.7,2.8,316,7,4,2,High
E0042,Operations,Senior,7.0,57.6,15.9,2.5,71,2,4,4,Medium
E0043,Operations,Senior,4.4,48.5,9.7,1.8,97,2,3,3,Low
E0044,Sales,Senior,5.6,45.6,9.0,2.2,130,3,4,2,Medium
E0045,Operations,Junior,1.8,46.9,12.5,2.5,98,1,4,3,Low
E0046,Operations,Mid,1.4,47.3,11.4,0.9,117,4,4,3,Medium
E0047,Sales,Junior,5.0,40.6,5.7,3.0,149,0,3,3,Low
E0048,Sales,Senior,1.3,49.9,9.5,2.8,47,2,3,4,Low
E0049,Finance,Lead,1.1,46.0,10.8,2.9,174,5,5,3,High
E0050,IT,Mid,18.4,51.3,10.4,0.7,207,4,4,3,Medium
E0051,IT,Senior,3.6,42.5,5.1,2.4,123,2,4,4,Low
E0052,IT,Junior,2.3,37.8,1.8,2.2,20,4,3,5,Low
E0053,Operations,Mid,2.1,41.5,4.0,1.0,95,2,3,5,Low
E0054,Finance,Junior,0.9,33.3,2.1,2.1,129,2,2,4,Low
E0055,Operations,Mid,4.3,43.2,4.9,2.2,196,3,3,3,Low
E0056,Operations,Senior,2.7,48.4,11.5,2.0,205,2,4,2,High
E0057,HR,Manager,6.8,48.4,7.8,4.0,120,2,4,4,Medium
E0058,Finance,Junior,5.1,39.4,6.8,0.0,96,0,2,4,Low
E0059,IT,Senior,2.7,47.6,5.6,2.8,120,2,4,3,Low
E0060,IT,Senior,0.4,49.1,8.7,3.8,60,1,5,3,Medium
E0061,Finance,Manager,3.7,54.2,13.3,4.5,117,2,5,2,High
E0062,HR,Senior,3.4,46.2,8.4,2.8,233,3,4,3,High
E0063,Finance,Mid,0.3,45.9,4.1,1.9,108,2,2,4,Low
E0064,Operations,Senior,4.7,43.0,9.6,2.0,163,2,5,3,Medium
E0065,Finance,Mid,1.2,54.6,15.8,1.9,78,4,5,2,High
E0066,Finance,Manager,7.1,46.1,10.9,3.7,209,3,5,2,High
E0067,Finance,Mid,3.2,38.0,4.2,1.5,107,1,4,3,Low
E0068,Sales,Senior,2.1,43.3,8.8,3.6,157,0,4,2,Medium
E0069,IT,Junior,4.1,46.4,8.4,3.4,160,4,4,3,High
E0070,Sales,Mid,3.9,43.1,7.4,2.5,196,3,5,2,Medium
E0071,IT,Lead,3.8,50.4,11.9,1.9,150,4,5,3,High
E0072,Sales,Senior,6.4,37.1,3.7,1.9,105,3,2,4,Low
E0073,Operations,Mid,4.2,36.1,3.6,2.7,58,1,3,4,Low
E0074,IT,Manager,1.9,53.8,12.4,3.3,97,1,4,4,Medium
E0075,IT,Lead,2.8,51.5,11.3,3.7,148,4,5,2,High
E0076,Sales,Mid,8.8,41.0,5.7,2.1,140,2,4,3,Medium
E0077,Sales,Senior,1.8,46.7,8.8,3.6,157,2,3,3,Medium
E0078,Finance,Mid,4.7,48.5,7.2,2.0,80,3,3,4,Low
E0079,Finance,Senior,6.6,50.7,12.1,1.9,102,1,4,3,Medium
E0080,Operations,Mid,5.0,45.8,7.1,1.8,134,3,4,3,Medium
E0081,Finance,Mid,3.7,49.8,8.6,1.1,105,5,4,2,Medium
E0082,Sales,Manager,4.1,45.3,9.8,5.3,377,3,5,2,High
E0083,Operations,Manager,5.2,50.9,13.8,3.2,127,4,5,3,High
E0084,IT,Lead,1.7,50.5,13.5,3.5,165,1,5,1,High
E0085,IT,Manager,3.4,52.2,16.5,2.9,212,4,5,3,High
E0086,IT,Senior,13.5,49.3,13.4,1.7,214,2,5,3,Medium
E0087,Operations,Senior,4.8,49.1,11.4,2.3,116,5,5,2,High
E0088,HR,Senior,3.8,44.2,5.6,3.4,161,5,4,3,Medium
E0089,IT,Mid,2.6,44.6,10.0,1.7,163,2,4,4,Medium
E0090,HR,Mid,1.8,49.1,8.8,1.4,176,2,4,4,Low
E0091,IT,Mid,4.2,41.8,6.4,2.2,127,3,3,3,Low
E0092,Operations,Senior,4.4,44.2,6.5,2.9,187,3,5,3,Medium
E0093,Sales,Mid,3.2,45.7,8.7,3.9,148,4,4,3,High
E0094,Sales,Mid,17.1,48.5,9.7,2.8,79,3,4,3,Medium
E0095,Sales,Senior,1.9,38.2,6.2,3.5,129,1,4,3,Medium
E0096,Finance,Mid,1.5,47.7,6.7,2.7,141,3,3,3,Medium
E0097,Sales,Junior,2.6,42.9,6.6,1.2,180,5,3,4,Medium
E0098,IT,Lead,3.3,45.7,3.1,2.2,117,2,3,4,Low
E0099,IT,Lead,1.7,47.2,11.1,2.1,294,5,5,1,High
E0100,Marketing,Junior,4.1,43.4,4.9,0.6,114,4,3,3,Low
E0101,Marketing,Junior,4.5,49.3,4.9,2.3,87,1,3,4,Low
E0102,Operations,Mid,5.7,49.5,13.2,2.3,250,4,5,2,High
E0103,Sales,Lead,2.3,48.2,6.1,3.5,110,3,4,4,Medium
E0104,Marketing,Lead,8.3,44.7,6.2,0.9,123,1,4,3,Medium
E0105,Operations,Junior,5.4,40.7,0.0,3.3,124,3,3,4,Low
E0106,Operations,Senior,1.9,45.5,7.1,1.8,136,2,3,3,Low
E0107,Sales,Junior,1.7,46.5,5.4,3.8,158,0,4,4,Low
E0108,Sales,Mid,2.7,42.4,6.0,1.4,169,6,3,3,Medium
E0109,IT,Manager,4.5,50.8,17.4,2.7,119,5,5,3,High
E0110,Marketing,Junior,5.0,44.9,8.9,0.0,84,2,3,3,Low
E0111,HR,Junior,5.4,42.9,3.8,2.0,63,1,2,5,Low
E0112,IT,Mid,13.0,45.0,7.5,1.2,225,6,4,3,High
E0113,Sales,Senior,0.6,52.8,13.6,2.1,127,3,4,3,Medium
E0114,Finance,Manager,3.2,52.4,10.9,2.2,191,3,4,3,High
E0115,IT,Manager,12.3,44.5,9.7,3.9,174,3,5,3,Medium
E0116,Operations,Junior,5.9,37.3,0.0,2.3,106,3,3,5,Low
E0117,Operations,Junior,1.4,39.0,4.7,3.1,70,5,3,4,Low
E0118,Operations,Lead,4.0,56.7,13.5,2.5,198,3,5,3,High
E0119,Sales,Mid,3.0,54.4,17.1,2.7,165,4,5,2,High
E0120,Finance,Lead,2.9,49.3,10.2,2.0,67,3,3,3,Medium
E0121,Finance,Senior,2.2,39.9,5.4,2.2,92,1,3,4,Low
E0122,Finance,Junior,3.8,40.6,1.3,1.3,37,3,2,5,Low
E0123,IT,Lead,7.3,52.7,14.2,3.4,121,2,5,2,High
E0124,Sales,Junior,2.4,38.7,0.0,3.0,109,0,3,4,Low
E0125,IT,Mid,5.4,51.9,11.2,2.9,128,1,4,2,High
E0126,HR,Senior,6.1,54.1,9.3,1.8,118,5,4,3,Medium
E0127,Sales,Mid,8.3,44.6,9.7,3.3,145,1,5,3,Medium
E0128,IT,Senior,1.6,44.3,9.6,2.5,170,6,4,3,High
E0129,IT,Senior,3.5,47.4,12.8,2.2,203,6,5,3,High
E0130,Finance,Manager,2.0,53.9,11.7,2.7,219,2,5,2,High
E0131,IT,Manager,3.8,50.7,9.9,2.9,90,5,4,4,Medium
E0132,Marketing,Mid,3.7,50.5,13.9,3.5,238,2,5,1,High
E0133,Finance,Junior,1.3,43.4,4.6,1.9,119,5,3,4,Low
E0134,Sales,Senior,3.9,47.4,12.6,3.1,113,2,5,3,Medium
E0135,Finance,Manager,13.4,43.2,1.3,3.1,57,1,3,3,Low
E0136,IT,Mid,5.0,49.9,14.1,4.1,56,2,4,4,Medium
E0137,Marketing,Mid,1.0,48.9,12.4,3.1,174,2,4,3,Medium
E0138,HR,Mid,1.5,45.1,4.6,1.5,146,0,3,3,Low
E0139,Operations,Junior,3.4,46.1,8.7,1.5,102,4,3,3,Medium
E0140,IT,Senior,1.6,49.2,12.7,2.3,111,3,5,2,High
E0141,HR,Mid,8.0,41.1,1.9,2.2,102,3,3,5,Low
E0142,HR,Lead,0.9,49.8,9.7,2.4,108,3,4,3,Medium
E0143,Marketing,Lead,5.0,49.6,6.3,3.4,77,2,4,3,Medium
E0144,Finance,Lead,0.7,47.5,7.6,4.2,59,5,4,4,Medium
E0145,HR,Mid,3.4,49.3,9.0,1.0,221,1,4,2,High
E0146,Sales,Mid,1.4,48.7,11.9,1.6,108,2,4,2,Medium
E0147,Sales,Senior,5.7,42.9,6.7,2.6,151,6,5,4,High
E0148,HR,Lead,7.1,45.2,4.6,2.7,153,3,3,4,Medium
E0149,Sales,Mid,4.5,44.4,5.4,4.1,148,1,4,3,Medium
E0150,IT,Lead,7.3,47.5,14.9,3.8,198,3,5,2,High
E0151,Operations,Junior,0.2,40.6,2.5,2.5,139,1,4,4,Low
E0152,Marketing,Lead,3.9,48.2,10.9,2.8,104,2,4,3,Medium
E0153,IT,Junior,5.0,47.0,11.0,1.5,116,4,4,2,Medium
E0154,Finance,Junior,5.4,48.5,5.6,0.5,208,2,3,3,Low
E0155,IT,Mid,4.8,51.6,13.0,2.7,119,4,4,2,High
E0156,Finance,Junior,5.5,47.6,4.8,2.1,121,3,3,3,Low
E0157,Sales,Junior,3.9,45.3,6.1,3.2,158,2,3,4,Low
E0158,Finance,Junior,1.1,41.5,2.1,1.5,235,1,3,4,Low
E0159,Operations,Mid,2.2,46.2,11.6,2.0,213,3,3,2,Medium
E0160,Operations,Senior,8.0,44.4,5.9,2.6,77,1,4,3,Low
E0161,IT,Junior,7.4,47.2,9.4,2.4,150,3,5,3,Medium
E0162,Marketing,Senior,4.9,41.7,7.7,1.3,141,2,3,5,Low
E0163,IT,Lead,5.8,44.3,7.8,3.6,109,3,5,3,Medium
E0164,IT,Junior,6.8,43.1,5.6,1.7,122,0,3,4,Low
E0165,Finance,Junior,4.9,50.2,11.5,0.9,97,3,5,3,Medium
E0166,Sales,Lead,7.9,50.6,11.8,1.8,118,2,4,3,Medium
E0167,Operations,Lead,7.7,43.1,6.5,2.9,98,1,2,3,Low
E0168,Operations,Mid,16.1,48.0,8.7,3.3,141,4,4,4,Medium
E0169,Sales,Lead,2.3,47.5,10.4,4.8,106,1,5,3,Medium
E0170,Marketing,Junior,2.3,46.7,19.3,2.0,302,3,5,2,High
E0171,Sales,Mid,4.6,45.5,9.1,4.1,145,2,4,3,Medium
E0172,HR,Senior,11.8,46.4,4.5,2.5,115,3,3,4,Low
E0173,IT,Mid,8.3,46.5,14.7,2.9,132,4,5,3,High
E0174,Marketing,Senior,6.3,40.3,0.6,2.1,87,2,3,5,Low
E0175,IT,Mid,8.7,52.0,9.4,1.7,75,4,5,5,Low
E0176,IT,Senior,5.0,52.4,18.5,2.0,220,6,5,2,High
E0177,Sales,Mid,2.8,45.7,7.5,0.9,237,2,4,3,Medium
E0178,Marketing,Mid,13.7,35.6,0.0,3.1,76,0,3,5,Low
E0179,Marketing,Junior,4.8,47.6,3.9,1.2,200,0,3,4,Low
E0180,Operations,Junior,7.6,49.3,12.3,1.1,388,5,5,3,High
E0181,Marketing,Senior,0.2,47.4,9.5,1.6,311,4,5,2,High
E0182,Marketing,Junior,0.3,45.3,2.1,1.5,215,1,3,4,Low
E0183,HR,Junior,4.0,42.1,0.8,3.1,53,4,3,4,Low
E0184,Sales,Junior,1.6,40.8,4.8,3.8,69,3,3,4,Low
E0185,Operations,Junior,4.3,44.0,7.9,0.4,170,1,4,3,Medium
E0186,Finance,Lead,2.3,53.6,15.4,2.7,162,6,5,2,High
E0187,Sales,Mid,17.6,47.6,12.2,1.7,56,1,4,2,Medium
E0188,IT,Manager,7.2,45.3,14.8,4.1,135,3,5,3,High
E0189,Operations,Junior,9.2,40.3,1.2,1.9,149,0,3,4,Low
E0190,Sales,Senior,0.4,38.5,4.2,2.4,107,1,3,4,Low
E0191,Marketing,Mid,6.2,51.4,8.6,2.2,139,8,4,4,Medium
E0192,IT,Mid,3.0,43.0,3.6,1.7,61,2,2,4,Low
E0193,IT,Lead,9.4,45.9,11.1,4.3,108,4,5,3,High
E0194,Operations,Manager,5.6,47.8,12.7,3.7,184,4,5,2,High
E0195,IT,Lead,3.4,39.9,7.4,3.5,105,3,3,3,Medium
E0196,IT,Junior,1.2,39.4,3.9,0.0,213,1,4,5,Low
E0197,Finance,Junior,3.9,47.1,5.6,1.6,120,4,3,3,Medium
E0198,Operations,Senior,7.9,55.2,11.0,4.2,165,8,5,2,High
E0199,IT,Mid,9.7,52.5,13.2,3.2,188,8,5,3,High
E0200,Sales,Senior,2.6,49.0,11.9,1.5,176,2,3,2,Medium
E0201,Operations,Senior,15.8,45.8,9.3,2.2,96,3,4,2,Medium
E0202,Marketing,Senior,7.5,40.7,5.0,1.5,78,3,3,3,Low
E0203,HR,Lead,1.6,48.3,3.2,4.4,33,3,3,3,Low
E0204,IT,Senior,1.3,45.9,8.5,2.7,117,2,4,2,Medium
E0205,IT,Junior,3.2,53.7,9.6,1.1,87,2,3,3,Medium
E0206,IT,Junior,2.6,51.3,9.3,1.7,110,2,4,3,Low
E0207,IT,Senior,5.1,36.0,2.1,0.4,96,0,3,5,Low
E0208,Finance,Mid,3.6,40.7,3.9,1.2,125,2,3,4,Low
E0209,IT,Mid,2.8,48.8,13.8,2.1,145,6,4,3,Medium
E0210,HR,Mid,0.8,43.2,4.8,2.8,113,4,3,3,Low
E0211,Operations,Senior,5.7,42.0,3.3,0.9,135,2,4,4,Low
E0212,Finance,Lead,0.7,64.4,19.4,2.7,151,6,5,3,High
E0213,IT,Senior,7.5,44.8,10.4,3.3,203,6,4,3,High
E0214,Operations,Mid,0.4,47.6,9.0,0.9,126,2,2,3,Low
E0215,Operations,Mid,0.7,48.8,9.1,2.3,257,6,4,2,High
E0216,Operations,Mid,1.6,44.4,6.0,2.2,76,0,3,4,Low
E0217,IT,Mid,2.4,44.8,6.1,3.5,102,4,4,4,Medium
E0218,IT,Senior,2.0,51.9,19.0,2.3,106,9,5,2,High
E0219,Marketing,Senior,2.4,49.7,12.0,2.4,144,5,5,2,High
E0220,Sales,Junior,4.3,49.5,10.3,2.8,86,2,4,3,Medium
E0221,Sales,Junior,1.6,48.1,9.3,1.1,58,3,3,3,Medium
E0222,HR,Junior,4.3,41.2,0.0,1.5,61,1,3,4,Low
E0223,Finance,Lead,0.2,56.1,15.1,2.6,75,2,5,3,High
E0224,Marketing,Senior,1.6,46.1,4.6,2.4,110,2,3,4,Low
E0225,Sales,Junior,0.6,46.4,8.1,2.8,148,1,4,4,Low
E0226,Marketing,Lead,7.5,38.4,2.9,3.4,42,2,2,4,Low
E0227,IT,Mid,1.8,38.4,0.8,1.5,85,1,2,4,Low
E0228,Finance,Mid,5.5,45.6,8.3,2.2,202,3,4,3,Medium
E0229,Finance,Manager,0.5,46.7,7.8,4.5,233,2,5,3,High
E0230,IT,Junior,9.6,38.1,0.0,1.0,156,1,2,4,Low
E0231,IT,Junior,3.8,45.1,10.2,1.8,45,3,3,4,Low
E0232,Sales,Senior,3.5,50.7,18.0,2.8,160,7,5,3,High
E0233,Marketing,Junior,0.8,43.6,11.1,1.6,221,3,4,3,Medium
E0234,Finance,Senior,1.4,44.9,7.5,1.2,104,1,3,4,Low
E0235,Marketing,Junior,2.9,39.6,5.5,2.8,53,1,4,3,Low
E0236,Operations,Junior,1.5,44.8,10.1,1.1,213,2,4,3,Medium
E0237,HR,Junior,7.0,44.9,8.0,2.5,224,4,4,2,High
E0238,Operations,Mid,3.7,40.5,6.1,1.6,118,2,3,4,Low
E0239,IT,Junior,1.5,47.3,8.1,1.2,75,2,3,3,Low
E0240,IT,Junior,6.2,49.3,9.2,2.7,66,3,4,4,Medium
E0241,Operations,Lead,2.6,48.3,12.7,3.8,152,4,5,2,High
E0242,Operations,Mid,6.0,43.9,7.0,2.3,99,1,3,4,Low
E0243,IT,Mid,2.2,48.1,8.5,2.7,117,3,4,4,Medium
E0244,HR,Junior,5.2,44.7,9.0,1.5,125,0,4,4,Low
E0245,Finance,Mid,2.5,46.8,11.8,2.1,96,2,5,3,Medium
E0246,Operations,Mid,7.0,50.8,9.4,1.6,57,4,3,4,Low
E0247,Finance,Senior,0.5,54.8,15.4,3.2,121,3,5,2,High
E0248,Sales,Junior,1.1,45.8,5.5,1.6,127,2,4,4,Low
E0249,Sales,Lead,3.1,56.6,17.5,4.6,168,2,5,3,High
E0250,Sales,Manager,1.9,45.2,14.2,3.5,102,0,5,3,Medium
E0251,Finance,Junior,2.4,59.2,19.1,1.7,253,2,5,1,High
E0252,Operations,Junior,5.6,42.1,1.7,2.3,55,0,3,4,Low
E0253,HR,Junior,2.4,43.1,0.7,1.7,16,0,1,5,Low
E0254,IT,Senior,4.5,50.7,12.2,2.3,205,2,4,2,High
E0255,IT,Junior,1.6,47.5,9.6,1.7,132,3,4,2,High
E0256,Operations,Lead,0.4,53.7,18.3,3.7,130,2,5,3,High
E0257,Operations,Senior,6.0,45.8,6.3,2.0,153,3,4,3,Medium
E0258,IT,Lead,11.1,51.4,15.6,2.9,137,3,4,1,High
E0259,IT,Mid,4.1,53.3,13.6,2.1,95,6,4,3,Medium
E0260,Finance,Manager,3.2,46.1,13.8,4.0,72,3,4,2,High
E0261,IT,Junior,3.8,41.3,4.2,1.6,99,2,4,4,Low
E0262,Operations,Mid,8.7,56.4,13.1,3.5,112,3,4,2,High
E0263,Sales,Mid,4.2,48.2,12.9,2.4,216,2,5,2,High
E0264,IT,Manager,6.2,51.4,15.4,3.1,123,4,5,2,High
E0265,Marketing,Senior,6.0,44.1,8.8,2.4,94,1,4,4,Low
E0266,IT,Lead,7.4,51.1,12.9,1.9,103,2,5,3,Medium
E0267,Sales,Junior,3.2,42.8,6.7,1.3,77,1,3,4,Low
E0268,IT,Manager,2.2,51.7,15.6,2.9,113,1,4,2,High
E0269,IT,Mid,5.2,49.5,9.1,3.0,61,3,4,5,Low
E0270,IT,Mid,7.0,42.0,5.6,2.1,131,3,3,2,Medium
E0271,IT,Manager,7.9,49.1,8.8,2.9,120,1,4,2,Medium
E0272,IT,Mid,9.5,46.9,6.0,3.1,107,4,3,4,Medium
E0273,IT,Mid,6.6,50.8,9.9,3.3,62,1,5,4,Low
E0274,Finance,Senior,2.1,46.8,8.4,3.5,151,1,4,3,Medium
E0275,Finance,Junior,4.1,54.9,6.9,1.0,159,1,3,4,Medium
E0276,Sales,Mid,3.8,50.9,10.0,2.2,273,3,4,3,High
E0277,Sales,Junior,3.5,44.2,4.5,3.6,146,1,5,4,Low
E0278,HR,Junior,5.2,44.6,9.4,1.9,275,6,5,2,High
E0279,Operations,Lead,2.9,46.9,9.4,2.8,97,1,4,4,Low
E0280,Operations,Senior,3.0,49.8,7.3,3.1,256,4,4,3,High
E0281,IT,Mid,11.5,53.6,10.9,2.9,159,3,4,4,Medium
E0282,IT,Mid,3.3,45.3,1.7,1.6,127,2,2,5,Low
E0283,IT,Mid,7.3,46.6,5.8,2.3,107,1,3,4,Low
E0284,IT,Senior,7.6,47.5,14.4,3.2,128,2,5,2,Medium
E0285,Finance,Manager,4.2,44.3,4.1,2.4,78,1,3,5,Low
E0286,Sales,Manager,3.0,49.3,16.5,3.8,279,3,5,1,High
E0287,IT,Mid,1.6,47.3,15.0,1.2,138,3,4,3,High
E0288,Sales,Mid,0.7,45.5,6.5,1.8,153,1,3,3,Medium
E0289,HR,Mid,5.5,45.7,5.7,1.6,172,2,4,3,Medium
E0290,IT,Senior,4.7,54.5,15.0,2.9,182,1,4,3,Medium
E0291,Operations,Mid,6.1,45.6,5.6,1.8,136,1,4,4,Low
E0292,IT,Senior,2.3,52.6,14.0,2.0,259,2,5,2,High
E0293,Marketing,Senior,12.3,40.9,5.3,2.5,138,2,3,3,Low
E0294,IT,Mid,5.0,45.0,7.1,1.2,89,4,3,3,Medium
E0295,Operations,Mid,3.2,38.5,4.3,2.4,91,2,4,3,Low
E0296,Marketing,Mid,0.3,40.0,7.9,3.0,59,1,3,4,Low
E0297,Marketing,Junior,2.6,50.0,10.1,1.6,149,6,4,3,Medium
E0298,Operations,Junior,6.3,42.0,5.8,1.5,157,5,3,4,Low
E0299,Operations,Senior,9.3,45.3,3.9,2.8,156,1,2,4,Low
E0300,Finance,Mid,3.6,45.0,2.7,0.5,141,1,3,3,Low
E0301,Operations,Junior,10.3,44.3,8.1,2.1,113,2,3,4,Low
E0302,IT,Senior,1.5,55.9,17.9,5.0,165,1,5,2,High
E0303,HR,Senior,4.8,43.7,7.6,2.4,122,1,4,3,Low
E0304,HR,Mid,4.9,36.4,3.0,2.0,179,2,4,3,Medium
E0305,Operations,Lead,5.5,51.0,13.6,3.6,54,3,4,2,High
E0306,HR,Manager,4.0,44.2,7.5,4.6,97,2,5,5,Medium
E0307,Sales,Senior,4.6,44.7,8.0,3.7,71,5,4,3,Medium
E0308,Finance,Senior,1.5,49.3,4.7,0.8,291,1,3,2,Medium
E0309,Sales,Junior,8.7,45.3,12.6,2.6,232,3,4,3,High
E0310,IT,Manager,6.8,42.9,2.8,5.4,83,1,5,5,Medium
E0311,HR,Mid,4.5,42.8,7.7,2.6,69,1,3,4,Low
E0312,Sales,Manager,6.9,50.5,10.1,2.8,79,3,5,3,Medium
E0313,IT,Senior,8.9,47.7,8.9,2.7,197,2,5,2,High
E0314,Sales,Junior,5.5,52.0,13.8,1.1,68,1,3,2,Low
E0315,Sales,Junior,13.2,40.0,4.1,3.1,115,1,4,5,Low
E0316,Sales,Senior,5.8,42.8,6.8,2.2,175,1,5,3,Medium
E0317,Sales,Senior,1.7,49.7,9.0,3.0,68,2,5,2,High
E0318,Finance,Junior,4.3,51.1,7.7,1.0,124,4,3,3,Medium
E0319,Sales,Senior,7.1,47.3,7.7,2.5,94,3,3,3,Medium
E0320,Marketing,Lead,8.9,39.4,3.2,4.2,79,1,3,4,Low
E0321,Marketing,Mid,4.1,43.0,3.0,2.2,72,1,3,3,Low
